ID,Delta notation,Name,Common Name,Other Names,Category,Formula,Mass,IUPAC Name,inchi,stdinchi,stdinchikey,smiles,Cas number,Sofa mol ID,LipidMaps ID,PubChem ID,ChEBI ID,Result Count
1," 7,18-di-OH-24:1-delta-15c","(7R,18R)-7,18-dihydroxy-15-tetracosenoic acid, (15Z)-",Nebraskanic acid,"7,18-Dihydroxy-15-tetracosenoic acid, (15Z)-",dihydroxy,C24H46O4,398.7,"(7R,18R)-7,18-dihydroxy-15-tetracosenoic acid, (15Z)-","","","","","","","","","",1
2," 7,18-di-OH-24:2-delta-15c,21c","(7R,15Z,18R,21Z)-7,18-dihydroxytetracosa-15,21-dienoic acid",Wuhanic acid,"7,18-Dihydroxy-15,21-tetracosedienoic acid, (15Z,21Z)-",dihydroxy,C24H44O4,396.7,"(7R,15Z,18R,21Z)-7,18-dihydroxytetracosa-15,21-dienoic acid","","","","","","","","","",1
10009, 1:0,Formic acid,,,,C H2 O2,46.03,formic acid,"InChI=1/CH2O2/c2-1-3/h1H,(H,2,3)/f/h2H","InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",BDAGIHXWWSANSR-UHFFFAOYSA-N,C(=O)O,64-18-6,M_001,,284,,1
10010, 2:0,Acetic acid,,,,C2 H4 O2,60.05,acetic acid,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H","InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N,C(C)(=O)O,64-19-7,M_002,LMFA01010002,176,,15
10011, 3:0,Propanoic acid,,Propionic acid acid,,C3 H6 O2,74.08,propanoic acid,"InChI=1/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/f/h4H","InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",XBDQKXXYIPTUBI-UHFFFAOYSA-N,C(CC)(=O)O,79-09-4,M_003,LMFA01010003,1032,,2
10013, 4:0,Butanoic acid,Butyric acid,Butyric acid; 1-Propanecarboxylic acid; Ethylacetic acid;  n-Butanoic acid; n-Butyric acid,,C4 H8 O2,88.11,butanoic acid,"InChI=1/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/f/h5H","InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",FERIUCNNQQJTOY-UHFFFAOYSA-N,C(CCC)(=O)O,107-92-6,M_005,LMFA01010004,264,,16
10014, 5:0,Pentanoic acid,Valeric acid,"Valeric acid, 1-Butanecarboxylic acid, n-Pentanoic acid",,C5 H10 O2,102.13,,"InChI=1/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)/f/h6H","InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",NQPDZGIKBAWPEJ-UHFFFAOYSA-N,C(CCCC)(=O)O,109-52-4,M_006,LMFA01010005,7991,,2
10015, 6:0,Hexanoic acid,Caproic acid,1-Hexanoic acid; 1-Pentanecarboxylic acid; Butylacetic acid; Caproic acid; Capronic acid; Pentylformic acid; n-Caproic acid; n-Hexanoic acid; n-Hexoic acid; n-Hexylic acid,,C6 H12 O2,116.16,hexanoic acid,"InChI=1/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/f/h7H","InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",FUZZWVXGSFPDMH-UHFFFAOYSA-N,C(CCCCC)(=O)O,142-62-1,M_007,LMFA01010006,8892,,67
10016, 7:0,Heptanoic acid,,1-Hexanecarboxylic acid; ,,C7 H14 O2,130.18,heptanoic acid,"InChI=1/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)/f/h8H","InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)",MNWFXJYAOYHMED-UHFFFAOYSA-N,C(CCCCCC)(=O)O,111-14-8,M_008,LMFA01010007,8094,,9
10017, 8:0,Octanoic acid,Caprylic acid,1-Heptanecarboxylic acid; Caprylic acid;`,C8-C12,C8 H16 O2,144.21,octanoic acid,"InChI=1/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)/f/h9H","InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)",WWZKQHOCKIZLMA-UHFFFAOYSA-N,C(CCCCCCC)(=O)O,124-07-2,M_009,LMFA01010008,379,,653
10018, 9:0,Nonanoic acid,Pelargonic acid,Pelargonic acid;1-Octanecarboxylic acid; Nonoic acid; Nonylic acid;  n-Nonanoic acid; n-Nonoic acid; n-Nonylic acid; n-Pelargonic acid,,C9 H18 O2,158.24,nonanoic acid,"InChI=1/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)/f/h10H","InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)",FBUKVWPVBMHYJY-UHFFFAOYSA-N,C(CCCCCCCC)(=O)O,112-05-0,M_010,LMFA01010009,8158,,23
10019, 10:0,Decanoic acid,Capric acid,1-Decanoic acid; Capric acid; Caprinic acid; Caprynic acid; Decoic acid; Decylic acid; n-Capric acid; n-Decanoic acid; n-Decoic acid; n-Decylic acid,C8-C12,C10 H20 O2,172.26,decanoic acid,"InChI=1/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)/f/h11H","InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)",GHVNFZFCNZKVNT-UHFFFAOYSA-N,C(CCCCCCCCC)(=O)O,334-48-5,M_011,LMFA01010010,2969,,1354
10020, 10:1-delta-4c,"4-Decenoic acid, (4Z)-",Obtusilic acid,"4-Decenoic acid, (Z)-; (Z)-4-Decenoic acid; 4-cis-Decenoic acid; Obtusilic acid; cis-4-Decenoic acid",,C10 H18 O2,170.25,(Z)-dec-4-enoic acid,"InChI=1/C10H18O2/c1-2-3-4-5-6-7-8-9-10(11)12/h6-7H,2-5,8-9H2,1H3,(H,11,12)/b7-6-/f/h11H","InChI=1S/C10H18O2/c1-2-3-4-5-6-7-8-9-10(11)12/h6-7H,2-5,8-9H2,1H3,(H,11,12)/b7-6-",XKZKQTCECFWKBN-SREVYHEPSA-N,C(CC\C=C/CCCCC)(=O)O,505-90-8,M_012,LMFA01030199,5312351,,19
10022," 10:2-delta-2t,4c","2,4-Decadienoic acid, (2E,4Z)-",,"2,4-Decadienoic acid, (E,Z)-; Stillingic acid; trans-2-cis-4-Decadienoic acid",,C10 H16 O2,168.23,"(2E,4Z)-deca-2,4-dienoic acid","InChI=1/C10H16O2/c1-2-3-4-5-6-7-8-9-10(11)12/h6-9H,2-5H2,1H3,(H,11,12)/b7-6-,9-8+/f/h11H","InChI=1S/C10H16O2/c1-2-3-4-5-6-7-8-9-10(11)12/h6-9H,2-5H2,1H3,(H,11,12)/b7-6-,9-8+",YKHVVNDSWHSBPA-NMMTYZSQSA-N,C(\C=C\C=C/CCCCC)(=O)O,544-48-9,M_014,LMFA01030104,5282782,,5
10025, 11:0,Undecanoic acid,,1-Decanecarboxylic acid; Hendecanoic acid; NSC 7885; Undecylic acid; n-Undecanoic acid; n-Undecoic acid; n-Undecylic acid,,C11 H22 O2,186.29,undecanoic acid,"InChI=1/C11H22O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2-10H2,1H3,(H,12,13)/f/h12H","InChI=1S/C11H22O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2-10H2,1H3,(H,12,13)",ZDPHROOEEOARMN-UHFFFAOYSA-N,C(CCCCCCCCCC)(=O)O,112-37-8,M_017,LMFA01010011,8180,,42
